PO_ID,Product_ID,Product_Name,Quantity,Unit_Price,Total_Price
PO061,P8303,Enterprise-wide solution-oriented infrastructure,89,71.85,6394.65
PO062,P7753,Function-based regional firmware,41,104.49,4284.09
PO063,P5448,Cross-group scalable ability,34,60.51,2057.34
PO063,P4243,Ergonomic 5thgeneration project,73,127.88,9335.24
PO063,P9180,Open-source fresh-thinking data-warehouse,11,195.63,2151.93
PO063,P3558,Configurable uniform software,94,233.1,21911.4
PO064,P1911,Triple-buffered web-enabled superstructure,37,283.35,10483.95
PO065,P8273,Vision-oriented discrete matrices,41,177.74,7287.34
PO065,P6428,Cloned optimizing forecast,39,453.12,17671.68
PO065,P6715,Pre-emptive maximized framework,85,338.07,28735.95
PO065,P9207,Inverse non-volatile array,28,61.1,1710.8
PO066,P2580,Sharable bi-directional utilization,66,81.27,5363.82
PO067,P7880,Balanced leadingedge monitoring,49,49.97,2448.53
PO067,P6310,Centralized bandwidth-monitored Local Area Network,40,490.05,19602.0
PO067,P3843,Devolved high-level Internet solution,93,79.67,7409.31
PO067,P5402,Function-based impactful database,85,387.87,32968.95
PO067,P2991,User-centric foreground alliance,3,325.72,977.16
PO068,P4864,Monitored attitude-oriented open architecture,71,204.65,14530.15
PO068,P9588,Front-line directional website,70,101.23,7086.1
PO068,P8102,Optimized fault-tolerant extranet,31,217.89,6754.59
PO068,P6428,Reduced bifurcated emulation,18,124.42,2239.56
PO069,P1707,Optional holistic solution,36,30.42,1095.12
PO070,P3886,Seamless 6thgeneration portal,19,284.6,5407.4
PO070,P6482,Virtual 3rdgeneration contingency,90,429.36,38642.4
PO070,P3210,Devolved composite strategy,79,163.59,12923.61
PO071,P9365,Cloned actuating knowledgebase,34,226.61,7704.74
PO072,P5749,Diverse composite access,68,26.74,1818.32
PO072,P9570,Multi-layered national projection,53,258.36,13693.08
PO072,P1541,Synchronized asynchronous success,26,364.24,9470.24
PO073,P6264,Automated fresh-thinking info-mediaries,30,271.65,8149.5
PO073,P9955,Enhanced real-time budgetary management,49,86.6,4243.4
PO073,P7219,Realigned multi-tasking installation,1,425.39,425.39
PO074,P9223,Self-enabling systematic approach,19,482.22,9162.18
PO074,P4700,Polarized client-driven task-force,15,184.77,2771.55
PO074,P9851,Ameliorated eco-centric protocol,39,467.26,18223.14
PO074,P6535,Stand-alone system-worthy Graphic Interface,57,453.02,25822.14
PO074,P6907,Reduced client-driven middleware,33,395.68,13057.44
PO075,P1633,Diverse intermediate matrix,98,227.95,22339.1
PO075,P6661,Reactive contextually-based concept,88,345.59,30411.92
PO076,P9040,Diverse interactive firmware,43,195.76,8417.68
PO077,P7464,Extended asynchronous benchmark,87,411.87,35832.69
PO077,P7623,User-friendly modular adapter,20,43.1,862.0
PO078,P5486,Multi-lateral multi-tasking protocol,21,281.76,5916.96
PO078,P3718,Synergistic 6thgeneration Graphical User Interface,50,218.94,10947.0
PO078,P1976,Extended 3rdgeneration matrices,78,265.76,20729.28
PO078,P5351,Realigned bottom-line archive,44,103.59,4557.96
PO078,P2530,Operative analyzing projection,14,255.98,3583.72
PO079,P4443,Open-architected composite parallelism,69,249.46,17212.74
PO079,P4183,Mandatory bifurcated focus group,87,22.59,1965.33
PO079,P4503,Expanded 24hour success,7,98.97,692.79
PO079,P2694,Fundamental didactic knowledgebase,99,155.7,15414.3
PO080,P7808,Virtual interactive structure,95,84.34,8012.3
PO081,P4195,Sharable multimedia core,28,151.53,4242.84
PO082,P5833,Diverse homogeneous focus group,78,456.17,35581.26
PO082,P6399,Cross-group fresh-thinking intranet,13,238.48,3100.24
PO082,P7721,Team-oriented discrete knowledgebase,69,317.06,21877.14
PO082,P9228,Centralized optimal challenge,57,489.64,27909.48
PO083,P9245,Distributed clear-thinking Local Area Network,76,461.57,35079.32
PO083,P1375,Streamlined cohesive process improvement,95,38.61,3667.95
PO083,P8827,Reactive bifurcated orchestration,25,29.16,729.0
PO083,P2693,Seamless demand-driven access,35,30.4,1064.0
PO084,P6500,Realigned contextually-based toolset,73,396.03,28910.19
PO084,P4635,Streamlined global archive,70,371.14,25979.8
PO085,P2642,Re-engineered clear-thinking portal,17,116.26,1976.42
PO085,P8003,Optional scalable process improvement,32,425.12,13603.84
PO085,P2534,Implemented scalable open architecture,71,317.51,22543.21
PO085,P6037,Diverse optimal groupware,41,130.11,5334.51
PO086,P3248,Focused systemic complexity,31,232.95,7221.45
PO086,P4375,Ameliorated impactful extranet,26,248.78,6468.28
PO087,P8436,Organized impactful toolset,59,338.76,19986.84
PO087,P4174,Optional client-driven throughput,51,455.94,23252.94
PO087,P4674,Multi-tiered upward-trending solution,40,431.6,17264.0
PO087,P8313,Optional impactful emulation,35,452.04,15821.4
PO088,P7586,Assimilated regional Local Area Network,3,138.91,416.73
PO088,P7205,User-centric systemic projection,79,133.42,10540.18
PO088,P7238,Mandatory object-oriented algorithm,17,202.08,3435.36
PO088,P1885,Progressive 24/7 customer loyalty,60,44.25,2655.0
PO089,P2822,Robust mission-critical collaboration,64,424.57,27172.48
PO089,P7332,Implemented directional access,10,225.58,2255.8
PO089,P6764,Ameliorated responsive protocol,69,21.7,1497.3
PO090,P5994,Multi-tiered executive throughput,24,132.03,3168.72
PO090,P8845,Fully-configurable context-sensitive interface,94,475.22,44670.68
PO090,P8503,Reverse-engineered composite throughput,63,381.52,24035.76
PO090,P4069,Customer-focused neutral help-desk,39,383.96,14974.44
PO091,P4566,Operative discrete structure,2,484.7,969.4
PO091,P2028,Synergistic background structure,54,352.79,19050.66
PO092,P9808,Inverse bifurcated database,8,360.16,2881.28
PO092,P3991,Balanced mission-critical orchestration,22,379.48,8348.56
PO092,P5583,Switchable secondary process improvement,87,149.55,13010.85
PO092,P2144,Monitored encompassing process improvement,61,480.82,29330.02
PO092,P8078,Realigned global support,81,81.8,6625.8
PO093,P6635,Vision-oriented motivating portal,33,272.85,9004.05
PO093,P2039,Enhanced web-enabled instruction set,55,354.92,19520.6
PO093,P5577,Assimilated content-based functionalities,99,371.22,36750.78
PO093,P7380,Organic high-level support,97,425.19,41243.43
PO094,P4799,Operative systemic structure,24,138.55,3325.2
PO094,P7957,Versatile even-keeled alliance,12,418.81,5025.72
PO094,P5695,User-centric impactful methodology,28,102.8,2878.4
PO094,P8029,Triple-buffered didactic open system,56,92.64,5187.84
PO095,P8264,Customer-focused motivating initiative,22,282.93,6224.46
PO095,P5735,Upgradable encompassing moderator,44,400.65,17628.6
PO096,P7755,Cross-platform asynchronous ability,1,219.77,219.77
PO096,P1378,Open-architected bandwidth-monitored framework,24,303.11,7274.64
PO096,P3080,Adaptive motivating attitude,1,242.31,242.31
PO096,P8846,Enterprise-wide explicit Graphic Interface,35,435.73,15250.55
PO097,P3056,User-centric modular service-desk,87,247.75,21554.25
PO097,P9901,Intuitive tertiary ability,71,475.52,33761.92
PO098,P7480,Optimized empowering policy,21,234.24,4919.04
PO098,P6510,Fundamental multi-state conglomeration,100,304.5,30450.0
PO098,P3088,Focused radical projection,54,356.22,19235.88
PO098,P4006,Synergistic national architecture,69,142.1,9804.9
PO098,P5334,Profound bottom-line archive,78,371.72,28994.16
PO099,P9464,Pre-emptive coherent Graphical User Interface,67,462.35,30977.45
PO100,P8977,Virtual 24hour encoding,34,479.87,16315.58
PO100,P6001,Assimilated empowering archive,34,416.24,14152.16
PO100,P7892,Devolved incremental help-desk,16,260.3,4164.8
